         0.000000/1559833828.492796 [dpd]     135/tcp: DCE_RPC 
         0.000000/1559833828.492800 [dpd]     139/tcp: SMB 
         0.000000/1559833828.492804 [dpd]     143/tcp: IMAP 
         0.000000/1559833828.492809 [dpd]     443/tcp: SSL 
         0.000000/1559833828.492814 [dpd]     445/tcp: SMB 
         0.000000/1559833828.492819 [dpd]     502/tcp: MODBUS 
         0.000000/1559833828.492823 [dpd]     563/tcp: SSL 
         0.000000/1559833828.492828 [dpd]     585/tcp: SSL 
         0.000000/1559833828.492831 [dpd]     587/tcp: SMTP 
         0.000000/1559833828.492836 [dpd]     614/tcp: SSL 
         0.000000/1559833828.492840 [dpd]     631/tcp: HTTP 
         0.000000/1559833828.492844 [dpd]     636/tcp: SSL 
         0.000000/1559833828.492848 [dpd]     989/tcp: SSL 
         0.000000/1559833828.492854 [dpd]     990/tcp: SSL 
         0.000000/1559833828.492858 [dpd]     992/tcp: SSL 
         0.000000/1559833828.492862 [dpd]     993/tcp: SSL 
         0.000000/1559833828.492868 [dpd]     995/tcp: SSL 
         0.000000/1559833828.492872 [dpd]     1080/tcp: HTTP SOCKS 
         0.000000/1559833828.492877 [dpd]     1434/tcp: MYSQL 
         0.000000/1559833828.492881 [dpd]     2811/tcp: FTP 
         0.000000/1559833828.492886 [dpd]     3128/tcp: HTTP 
         0.000000/1559833828.492889 [dpd]     3306/tcp: MYSQL 
         0.000000/1559833828.492893 [dpd]     3389/tcp: RDP 
         0.000000/1559833828.492896 [dpd]     5222/tcp: XMPP 
         0.000000/1559833828.492900 [dpd]     5223/tcp: SSL 
         0.000000/1559833828.492903 [dpd]     5269/tcp: XMPP 
         0.000000/1559833828.492913 [dpd]     6666/tcp: IRC 
         0.000000/1559833828.492917 [dpd]     6667/tcp: IRC 
         0.000000/1559833828.492921 [dpd]     6668/tcp: IRC 
         0.000000/1559833828.492925 [dpd]     6669/tcp: IRC 
         0.000000/1559833828.492928 [dpd]     8000/tcp: HTTP 
         0.000000/1559833828.492932 [dpd]     8080/tcp: HTTP 
         0.000000/1559833828.492935 [dpd]     8888/tcp: HTTP 
         0.000000/1559833828.492939 [dpd]     20000/tcp: DNP3_TCP 
         0.000000/1559833828.492944 [dpd]     53/udp: DNS 
         0.000000/1559833828.492948 [dpd]     67/udp: DHCP 
         0.000000/1559833828.492954 [dpd]     68/udp: DHCP 
         0.000000/1559833828.492958 [dpd]     88/udp: KRB 
         0.000000/1559833828.492963 [dpd]     137/udp: DNS 
         0.000000/1559833828.492967 [dpd]     161/udp: SNMP 
         0.000000/1559833828.492970 [dpd]     162/udp: SNMP 
         0.000000/1559833828.492973 [dpd]     443/udp: DTLS 
         0.000000/1559833828.492977 [dpd]     514/udp: SYSLOG 
         0.000000/1559833828.492982 [dpd]     1812/udp: RADIUS 
         0.000000/1559833828.492988 [dpd]     2123/udp: GTPV1 
         0.000000/1559833828.492991 [dpd]     2152/udp: GTPV1 
         0.000000/1559833828.492996 [dpd]     3544/udp: TEREDO 
         0.000000/1559833828.493001 [dpd]     4011/udp: DHCP 
         0.000000/1559833828.493005 [dpd]     4789/udp: VXLAN 
         0.000000/1559833828.493009 [dpd]     5060/udp: SIP 
         0.000000/1559833828.493014 [dpd]     5072/udp: AYIYA 
         0.000000/1559833828.493018 [dpd]     5353/udp: DNS 
         0.000000/1559833828.493023 [dpd]     5355/udp: DNS 
         0.000000/1559833828.493028 [dpd]     20000/udp: DNP3_TCP 
         0.000000/1559833828.493057 [main-loop] realtime=1559833828.493057 iosrc=Broker::Manager ts=1.000000
         0.000000/1559833828.493073 [main-loop] realtime=1559833828.493073 iosrc=threading::Manager ts=1.000000
         0.000000/1559833828.493081 [main-loop] realtime=1559833828.493081 iosrc=PktSrc ts=1362692526.869344
1362692526.869344/1559833828.493150 [dpd] 141.142.228.5:59856 > 192.150.187.43:80 activated TCP analyzer
